instance,n_modules,seed,n_burns,horizon,corridors,separations,budget,digest,pond_status,pond_mk,pond_fuel,pond_wall_s,pond_conflicts,pond_domaine_objectif,2p_status,2p_mk,2p_fuel,2p_wall_s,2p_certifie,disp_status,disp_mk,disp_fuel,disp_wall_s,audit_pond,audit_2p,audit_disp
coursia-orbital-m4-s11,4,11,8,184,2,0,464,b2ae490d34632341,OPTIMAL,51,408,0.0306,0,86024,OPTIMAL/OPTIMAL,51,408,0.0653,True,FAISABLE,52,433,0.0002,True,True,True
coursia-orbital-m4-s22,4,22,8,184,2,1,478,076b3bd96a209334,OPTIMAL,56,442,0.0287,3,88614,OPTIMAL/OPTIMAL,56,442,0.0259,True,FAISABLE,56,448,0.0001,True,True,True
coursia-orbital-m4-s33,4,33,8,184,2,1,475,4a01cc08497d2f0e,OPTIMAL,37,421,0.0296,1,88059,OPTIMAL/OPTIMAL,37,421,0.039,True,FAISABLE,41,444,0.0001,True,True,True
coursia-orbital-m4-s44,4,44,8,184,2,0,462,63929a1ca6a9e931,OPTIMAL,59,406,0.0292,0,85654,OPTIMAL/OPTIMAL,59,406,0.0515,True,FAISABLE,59,429,0.0001,True,True,True
coursia-orbital-m4-s55,4,55,8,184,2,2,461,8e3fb414ccb77fbd,OPTIMAL,56,390,0.0281,0,85469,OPTIMAL/OPTIMAL,56,390,0.0418,True,FAISABLE,57,428,0.0001,True,True,True
coursia-orbital-m6-s11,6,11,12,228,2,4,818,9561a6bad9f3485d,OPTIMAL,69,789,0.0592,1,187550,OPTIMAL/OPTIMAL,69,789,0.1128,True,FAISABLE,75,739,0.0002,True,True,True
coursia-orbital-m6-s22,6,22,12,228,2,3,843,80cfbce022aff265,OPTIMAL,68,809,0.0719,5,193275,OPTIMAL/OPTIMAL,68,809,0.0881,True,FAISABLE,83,842,0.0002,True,True,True
coursia-orbital-m6-s33,6,33,12,228,2,2,836,0da7820663568a8d,OPTIMAL,71,810,0.0568,0,191672,OPTIMAL/OPTIMAL,71,810,0.0705,True,FAISABLE,88,836,0.0002,True,True,True
coursia-orbital-m6-s44,6,44,12,228,2,0,825,5d0af050f1f29418,OPTIMAL,72,821,0.0441,0,189153,OPTIMAL/OPTIMAL,72,821,0.1191,True,FAISABLE,88,825,0.0002,True,True,True
coursia-orbital-m6-s55,6,55,12,228,2,1,816,6adc1e6e279ccddb,OPTIMAL,61,779,0.0417,0,187092,OPTIMAL/OPTIMAL,61,779,0.0869,True,FAISABLE,66,816,0.0002,True,True,True
coursia-orbital-m8-s11,8,11,16,272,3,5,1208,29361dc8b6b78a6c,OPTIMAL,74,1138,0.0656,3,330056,OPTIMAL/OPTIMAL,74,1138,0.116,True,FAISABLE,76,1187,0.0004,True,True,True
coursia-orbital-m8-s22,8,22,16,272,3,3,1231,3c2fd6cd73e7e5a5,OPTIMAL,89,1136,0.0747,0,336335,OPTIMAL/OPTIMAL,89,1136,0.1472,True,FAISABLE,92,1209,0.0003,True,True,True
coursia-orbital-m8-s33,8,33,16,272,3,6,1228,22db3908f076aefd,OPTIMAL,66,1021,0.0721,0,335516,OPTIMAL/OPTIMAL,66,1021,0.0861,True,FAISABLE,66,1208,0.0002,True,True,True
coursia-orbital-m8-s44,8,44,16,272,3,8,1214,42e8790ce236a287,OPTIMAL,66,1036,0.0634,0,331694,OPTIMAL/OPTIMAL,66,1036,0.1017,True,FAISABLE,69,1192,0.0003,True,True,True
coursia-orbital-m8-s55,8,55,16,272,3,5,1203,33df73e03efc0780,OPTIMAL,77,1113,0.0706,3,328691,OPTIMAL/OPTIMAL,77,1113,0.1505,True,FAISABLE,86,1179,0.0003,True,True,True
coursia-orbital-m10-s11,10,11,20,316,4,9,1291,da1baffdf3d2000a,OPTIMAL,82,1075,0.0727,0,409563,OPTIMAL/OPTIMAL,82,1075,0.1528,True,FAISABLE,82,1285,0.0013,True,True,True
coursia-orbital-m10-s22,10,22,20,316,4,12,1318,e5a1544da80e6863,OPTIMAL,87,1138,0.1066,0,418122,OPTIMAL/OPTIMAL,87,1138,0.176,True,FAISABLE,117,1318,0.0006,True,True,True
coursia-orbital-m10-s33,10,33,20,316,4,6,1305,22a14292de403280,OPTIMAL,89,1179,0.0717,0,414001,OPTIMAL/OPTIMAL,89,1179,0.1398,True,FAISABLE,93,1297,0.0003,True,True,True
coursia-orbital-m10-s44,10,44,20,316,4,11,1302,f051cd599c24471a,OPTIMAL,99,1109,0.0881,1,413050,OPTIMAL/OPTIMAL,99,1109,0.1481,True,FAISABLE,118,1301,0.0005,True,True,True
coursia-orbital-m10-s55,10,55,20,316,4,9,1297,57e93d6ec2629897,OPTIMAL,88,1123,0.0579,0,411465,OPTIMAL/OPTIMAL,88,1123,0.1309,True,FAISABLE,99,1287,0.0004,True,True,True
coursia-orbital-m12-s11,12,11,24,360,4,12,1657,d403e0e32448c7c0,OPTIMAL,88,1477,0.0885,0,598537,OPTIMAL/OPTIMAL,88,1477,0.1947,True,FAISABLE,103,1657,0.0007,True,True,True
coursia-orbital-m12-s22,12,22,24,360,4,7,1673,5a92c1051bba9e3b,OPTIMAL,95,1499,0.1018,0,604313,OPTIMAL/OPTIMAL,95,1499,0.1666,True,FAISABLE,102,1673,0.0005,True,True,True
coursia-orbital-m12-s33,12,33,24,360,4,15,1661,6dbd5ce52666769a,OPTIMAL,114,1413,0.0916,21,599981,OPTIMAL/OPTIMAL,114,1413,0.1542,True,FAISABLE,126,1661,0.0008,True,True,True
coursia-orbital-m12-s44,12,44,24,360,4,15,1670,fe770305c6fb5715,OPTIMAL,96,1386,0.0977,19,603230,OPTIMAL/OPTIMAL,96,1386,0.1549,True,FAISABLE,98,1669,0.0005,True,True,True
coursia-orbital-m12-s55,12,55,24,360,4,14,1658,aab6978371a29600,OPTIMAL,97,1391,0.0736,5,598898,OPTIMAL/OPTIMAL,97,1391,0.1828,True,FAISABLE,100,1654,0.0005,True,True,True
