date,industries,names,beta_low,beta_high
2010-01-02,54,1608,0.828691,1.39305
2010-01-04,54,1610,0.82614,1.3923
2010-02-01,54,1604,0.836924,1.40703
2010-03-01,54,1616,0.843985,1.42508
2010-04-01,55,1594,0.88945,1.49294
2010-05-03,55,1632,0.898753,1.49238
2010-06-01,55,1628,0.873636,1.3999
2010-07-01,55,1638,0.857704,1.35143
2010-08-02,55,1634,0.855341,1.33783
2010-09-01,55,1630,0.847346,1.3055
2010-10-01,55,1626,0.845358,1.29479
2010-11-01,55,1632,0.844561,1.2997
2010-12-01,55,1624,0.847412,1.29616
2011-01-03,55,1640,0.845443,1.29108
2011-02-01,55,1634,0.859552,1.30412
2011-03-01,55,1638,0.862768,1.31322
2011-04-01,55,1624,0.849784,1.29392
2011-05-02,55,1632,0.857008,1.29691
2011-06-01,55,1626,0.898656,1.37891
2011-07-01,55,1628,0.91151,1.41806
2011-08-01,55,1624,0.922262,1.42944
2011-09-01,55,1640,0.853128,1.26803
2011-10-03,55,1632,0.839815,1.23903
2011-11-01,55,1634,0.834627,1.23819
2011-12-01,55,1628,0.826477,1.22596
2012-01-03,55,1624,0.823421,1.22515
2012-02-01,55,1616,0.824035,1.23124
2012-03-01,55,1616,0.825859,1.23285
2012-04-02,55,1600,0.824279,1.23917
2012-05-01,55,1614,0.823679,1.23782
2012-06-01,55,1614,0.821724,1.24164
2012-07-02,55,1606,0.822478,1.23998
2012-08-01,55,1608,0.826977,1.24287
2012-09-04,55,1612,0.865652,1.34535
2012-10-01,55,1594,0.884359,1.39595
2012-11-01,55,1616,0.907193,1.44172
2012-12-03,55,1588,0.945495,1.51232
2013-01-02,55,1618,0.96484,1.58255
2013-02-01,55,1616,0.964028,1.56766
2013-03-01,55,1602,0.949271,1.5384
2013-04-01,55,1600,0.952102,1.53624
2013-05-01,55,1606,0.957534,1.53306
2013-06-03,55,1598,0.959839,1.52977
2013-07-01,55,1568,0.963798,1.52627
2013-08-01,55,1592,0.990277,1.56218
2013-09-03,54,1596,0.982996,1.52971
2013-10-01,54,1586,0.987251,1.53502
2013-11-01,54,1592,0.967837,1.48914
2013-12-02,55,1594,0.961526,1.49571
2014-01-02,55,1596,0.9716,1.50504
2014-02-03,55,1592,0.963736,1.48279
2014-03-03,54,1592,0.970509,1.48934
2014-04-01,54,1588,0.954265,1.46089
2014-05-01,54,1600,0.959696,1.463
2014-06-02,54,1586,0.963891,1.46393
2014-07-01,54,1588,1.00475,1.56455
2014-08-01,54,1584,0.987596,1.5254
2014-09-02,54,1590,0.993387,1.54638
2014-10-01,54,1574,0.982863,1.52718
2014-11-03,54,1586,0.959739,1.47669
2014-12-01,54,1574,0.969925,1.5028
2015-01-02,54,1592,0.953175,1.47156
2015-02-02,54,1580,0.941972,1.43822
2015-03-02,54,1576,0.948608,1.45543
2015-04-01,54,1574,0.930972,1.41129
2015-05-01,55,1588,0.947617,1.4397
2015-06-01,55,1582,0.927239,1.39583
2015-07-01,55,1582,0.908605,1.36196
2015-08-03,55,1572,0.907968,1.36045
2015-09-01,55,1580,0.864888,1.25426
2015-10-01,55,1576,0.838954,1.20793
2015-11-02,55,1588,0.851469,1.2453
2015-12-01,55,1582,0.848527,1.23621
2016-01-04,55,1588,0.844366,1.22791
2016-02-01,55,1596,0.842602,1.22909
2016-03-01,55,1594,0.843051,1.25097
2016-04-01,55,1598,0.848775,1.27462
2016-05-02,55,1596,0.851081,1.2831
2016-06-01,55,1584,0.845284,1.28327
2016-07-01,55,1602,0.839425,1.27911
2016-08-01,55,1610,0.844133,1.28523
2016-09-01,55,1610,0.85533,1.3382
2016-10-03,55,1604,0.854981,1.34082
2016-11-01,55,1620,0.850493,1.32721
2016-12-01,54,1620,0.846535,1.32804
2017-01-03,54,1616,0.856274,1.35479
2017-02-01,54,1628,0.899117,1.4502
2017-03-01,54,1630,0.93121,1.49772
2017-04-03,54,1632,0.931075,1.48852
2017-05-01,55,1638,0.929301,1.49513
2017-06-01,55,1642,0.93277,1.50267
2017-07-03,55,1652,1.00658,1.63146
2017-08-01,55,1656,1.00639,1.63048
2017-09-01,55,1654,0.987076,1.57144
2017-10-02,55,1662,1.04037,1.67703
2017-11-01,55,1668,1.04644,1.70547
2017-12-01,55,1664,1.05434,1.71758
2018-01-02,55,1666,1.06944,1.75302
2018-02-01,55,1680,1.04896,1.69919
2018-03-01,55,1664,0.87526,1.3252
2018-04-02,55,1670,0.831109,1.23407
2018-05-01,55,1672,0.806385,1.18676
2018-06-01,55,1658,0.802971,1.16789
2018-07-02,55,1678,0.797882,1.15725
2018-08-01,55,1678,0.793877,1.15361
2018-09-04,55,1686,0.793644,1.16031
2018-10-01,55,1684,0.791418,1.1563
2018-11-01,55,1690,0.766796,1.105
2018-12-03,55,1690,0.756583,1.08313
2019-01-02,55,1696,0.7402,1.04592
2019-02-01,55,1690,0.73182,1.03401
2019-03-01,55,1692,0.755008,1.08153
2019-04-01,55,1678,0.767144,1.10585
2019-05-01,55,1680,0.777208,1.12832
2019-06-03,55,1680,0.76632,1.12172
2019-07-01,55,1656,0.764033,1.12063
2019-08-01,55,1680,0.763323,1.12249
2019-09-03,55,1678,0.74433,1.09397
2019-10-01,55,1672,0.747471,1.09771
2019-11-01,55,1684,0.757101,1.11712
2019-12-02,55,1668,0.7704,1.14397
2020-01-02,55,1666,0.813269,1.24992
2020-02-03,55,1670,0.82656,1.27871
2020-03-02,55,1674,0.792382,1.213
2020-04-01,55,1670,0.736518,1.09034
2020-05-01,55,1670,0.745857,1.11814
2020-06-01,55,1660,0.753026,1.14384
2020-07-01,55,1666,0.757698,1.15834
2020-08-03,55,1660,0.757371,1.15552
2020-09-01,55,1654,0.757287,1.16555
2020-10-01,55,1650,0.759505,1.1541
2020-11-02,55,1632,0.756314,1.15267
2020-12-01,55,1624,0.762502,1.15729
2021-01-04,55,1614,0.763436,1.16012
2021-02-01,55,1608,0.759981,1.15897
2021-03-01,54,1606,0.769217,1.1733
2021-04-01,55,1614,0.870371,1.36594
2021-05-03,54,1614,0.907412,1.43497
2021-06-01,54,1590,0.903876,1.42186
2021-07-01,54,1602,0.944361,1.48193
2021-08-02,54,1602,0.925348,1.45952
2021-09-01,55,1588,0.923907,1.44181
2021-10-01,54,1600,0.96123,1.50887
2021-11-01,55,1598,0.9836,1.56832
2021-12-01,54,1588,0.98566,1.55467
2022-01-03,54,1604,0.95533,1.49347
2022-02-01,54,1606,0.945882,1.45545
2022-03-01,54,1612,0.919714,1.4045
2022-04-01,55,1618,0.886677,1.34319
2022-05-02,55,1638,0.84914,1.28087
2022-06-01,55,1618,0.825834,1.2379
2022-07-01,54,1630,0.810889,1.20527
2022-08-01,54,1648,0.805224,1.1985
2022-09-01,55,1638,0.795095,1.18642
2022-10-03,54,1648,0.797688,1.17356
2022-11-01,55,1664,0.792297,1.16113
2022-12-01,55,1666,0.775212,1.14701
2023-01-03,55,1664,0.774995,1.14956
2023-02-01,55,1668,0.774344,1.15388
2023-03-01,55,1678,0.782733,1.16083
2023-04-03,55,1668,0.778968,1.16442
2023-05-01,55,1684,0.785262,1.17281
2023-06-01,55,1662,0.797057,1.2111
2023-07-03,55,1680,0.817929,1.26222
2023-08-01,55,1690,0.826086,1.2809
2023-09-01,55,1702,0.833559,1.29253
2023-10-02,55,1708,0.847388,1.33347
2023-11-01,55,1724,0.882953,1.41394
2023-12-01,55,1718,0.919774,1.49021
2024-01-02,55,1736,0.950153,1.5969
2024-02-01,55,1744,0.959163,1.6259
2024-03-01,55,1744,0.973654,1.66787
2024-04-01,55,1762,1.00132,1.72075
2024-05-01,55,1768,0.996455,1.72643
2024-06-03,55,1766,1.00553,1.74254
2024-07-01,55,1790,1.01726,1.77152
2024-08-01,55,1804,0.99403,1.71556
2024-09-03,55,1814,0.971786,1.67136
2024-10-01,55,1808,0.968657,1.66903
2024-11-01,55,1822,0.9753,1.6946
2024-12-02,55,1816,0.986899,1.72791
2025-01-02,55,1820,0.968353,1.68147
2025-02-03,55,1830,0.959906,1.66199
2025-03-03,55,1832,0.962705,1.664
2025-04-01,55,1834,0.885781,1.5156
2025-05-01,55,1830,0.758162,1.21518
2025-06-02,55,1816,0.748363,1.20834
2025-07-01,55,1814,0.740251,1.20233
2025-08-01,55,1816,0.744548,1.20653
2025-09-02,55,1808,0.752607,1.22308
2025-10-01,55,1802,0.756872,1.24735
2025-11-03,55,1820,0.753055,1.23667
2025-12-01,55,1814,0.744527,1.22543
2026-01-02,55,1808,0.747108,1.2341
2026-02-02,55,1806,0.75553,1.2309
2026-03-02,55,1806,0.755792,1.22851
2026-04-01,55,1804,0.758498,1.23497
2026-05-01,55,1806,0.914533,1.62661
2026-06-01,55,1794,0.936599,1.6855
2026-07-01,55,1794,0.914533,1.62399
2026-08-03,55,1798,0.895981,1.59477
