notebook,cell_id,cell_type,src_lang,src_hash,text_fr,text_en,text_es,text_ar,text_fa,text_zh,text_ru,text_pt,hash_fr,hash_en,hash_es,hash_ar,hash_fa,hash_zh,hash_ru,hash_pt
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,0d778293,markdown,fr,fbd928d35ded19c8,"# SW-10-CSharp-RDFStar — Jumeau C# : annoter des triplets (réification) via dotNetRDF

> **Jumeau C# (.NET 9)** de [`SW-10-Python-RDFStar`](SW-10-Python-RDFStar.ipynb). Le notebook Python utilise **rdflib** pour illustrer l'annotation de triplets (provenance, confiance, validité temporelle) via la **réification classique** RDF (4 triplets par assertion) et les **graphes nommés** (`rdflib.Dataset`). **Ce jumeau invoque le vrai moteur .NET natif** : **dotNetRDF 3.4.1** (`VDS.RDF.Graph`, `Triple`, `SparqlQueryParser`, `ExecuteQuery`) — pas une réimplémentation jouet.

**Source Python** : [`SW-10-Python-RDFStar.ipynb`](SW-10-Python-RDFStar.ipynb) — `rdflib.Graph`/`Dataset`, `reify()` helper, requêtes SPARQL sur `rdf:Statement`.

## Objectifs d'apprentissage

1. **Comprendre la limitation** fondamentale de RDF : un triplet est une affirmation atomique, on ne peut pas (en RDF 1.0) annoter directement un triplet.
2. **Maîtriser la réification classique** : décomposer une assertion en 4 triplets (`rdf:Statement` + `rdf:subject`/`predicate`/`object`) pour pouvoir l'annoter.
3. **Construire un graphe de connaissances annoté** : provenance, score de confiance, validité temporelle.
4. **Interroger** ces annotations via SPARQL (`SparqlQueryParser` + `ExecuteQuery`), avec filtrage.
5. **Découvrir les graphes nommés** comme alternative plus compacte à la réification.

## Vérification mathématique (cibles de concordance)

- **Coût de la réification** : annoter 1 fait = **7 triplets** exactement (1 original + 4 réification + 2 annotations). Concordance avec rdflib.
- **Graphe de connaissances** : 4 personnes (8 triplets `type`/`name`) + faits annotés.
- **Requête SPARQL filtrée** : 2 relations à confiance ≥ 0,60 (Alice→Bob 0,95, Bob→Carol 0,60), 2 à confiance < 0,60 (Carol→Dave 0,30, Alice→Dave 0,50). Concordance avec le twin Python.
",,,,,,,,fbd928d35ded19c8,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,5d33bcbe,markdown,fr,06441be46f642c2c,"## 1. Installation et espace de noms

dotNetRDF est le moteur .NET natif pour RDF/SPARQL. On charge le NuGet `dotNetRDF` 3.4.1 (le même que `SW-9-CSharp-JSONLD`). On définit les préfixes et URI de base comme le twin Python (`ex:`, `foaf:`, `rdf:`, `xsd:`).",,,,,,,,06441be46f642c2c,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,7a93dd6f,code,fr,69b5da1023df0829,"#r ""nuget: dotNetRDF, 3.4.1""

using VDS.RDF;
using VDS.RDF.Parsing;
using VDS.RDF.Query;
using VDS.RDF.Writing;
using System;
using System.IO;
using System.Text;

Console.WriteLine(""dotNetRDF charge (VDS.RDF) -- marathon #4956, parite avec SW-10-Python-RDFStar (rdflib)"");
",,,,,,,,69b5da1023df0829,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,de19e0e3,markdown,fr,f91920130aa2f32a,"## 2. Le problème : pourquoi annoter des triplets ?

RDF représente des faits sous forme de **triplets** (sujet, prédicat, objet). Mais un triplet est atomique : on ne peut pas lui attacher directement une provenance, un score de confiance ou une date. Pour dire « Alice affirme que Bob connaît Carol avec 85 % de confiance », il faut **réifier** le triplet — le décomposer en 4 triplets auxiliaires — puis annoter ce nœud-réification.

### 2.1 La réification classique : 4 triplets pour 1 assertion

La réification d'un triplet `(s, p, o)` crée un nœud `stmt` typé `rdf:Statement` relié au triplet original via `rdf:subject`, `rdf:predicate`, `rdf:object`. On peut alors annoter `stmt` (source, confiance, date) sans toucher au fait original.",,,,,,,,f91920130aa2f32a,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,f5354f21,code,fr,30217db308cc208d,"// Espace de noms et URI de base (identiques au twin Python)
const string NS = ""http://example.org/"";
var g = new Graph();
g.NamespaceMap.AddNamespace(""ex"", new Uri(NS));
g.NamespaceMap.AddNamespace(""foaf"", new Uri(""http://xmlns.com/foaf/0.1/""));

// Helper : un URI node racourci
IUriNode U(string local) => g.CreateUriNode(""ex:"" + local);
IUriNode Pred(Uri u) => g.CreateUriNode(u);
IUriNode rdfType = g.CreateUriNode(""rdf:type"");
IUriNode rdfStmt = g.CreateUriNode(""rdf:Statement"");
IUriNode rdfSubject = g.CreateUriNode(""rdf:subject"");
IUriNode rdfPredicate = g.CreateUriNode(""rdf:predicate"");
IUriNode rdfObject = g.CreateUriNode(""rdf:object"");
IUriNode foafKnows = Pred(new Uri(""http://xmlns.com/foaf/0.1/knows""));

// Reification classique : decomposer le triplet (Bob, knows, Carol)
g.Assert(new Triple(U(""Bob""), foafKnows, U(""Carol"")));          // le fait original (1)

var stmt = U(""statement1"");
g.Assert(new Triple(stmt, rdfType, rdfStmt));                   // rdf:type rdf:Statement
g.Assert(new Triple(stmt, rdfSubject, U(""Bob"")));               // rdf:subject Bob
g.Assert(new Triple(stmt, rdfPredicate, foafKnows));            // rdf:predicate foaf:knows
g.Assert(new Triple(stmt, rdfObject, U(""Carol"")));              // rdf:object Carol   (4)

// Annotations : qui affirme ce fait, avec quel degre de confiance ?
g.Assert(new Triple(stmt, U(""assertedBy""), U(""Alice"")));        // assertedBy Alice
g.Assert(new Triple(stmt, U(""confidence""), g.CreateLiteralNode(""0.85"", new Uri(""http://www.w3.org/2001/XMLSchema#double""))));  // (2)

Console.WriteLine($""Nombre total de triplets : {g.Triples.Count}"");
Console.WriteLine(""  - Fait original : 1 triplet"");
Console.WriteLine(""  - Reification : 4 triplets"");
Console.WriteLine(""  - Annotations : 2 triplets"");
Console.WriteLine(""  - Total : 7 triplets pour annoter 1 fait"");
",,,,,,,,30217db308cc208d,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,33eb9622,markdown,fr,92de8b2aa3b18c64,"### Interprétation : coût de la réification

| Approche | Triplets nécessaires | Lisibilité | Garantie d'existence du fait |
|----------|---------------------|------------|------------------------------|
| Triplet nu | 1 | excellente | oui (le triplet existe) |
| Réification + annotations | **7** | verbeuse | non (le fait original peut ne pas exister) |

C'est précisément ce coût (4 triplets auxiliaires + N annotations) que **RDF-star** (RDF 1.2) vise à éliminer avec la syntaxe `<< s p o >>`. Mais la réification reste le mécanisme portable, indépendant du moteur. La sérialisation Turtle ci-dessous montre les 7 triplets.",,,,,,,,92de8b2aa3b18c64,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,ab397f35,code,fr,1ccbdc898eafe03e,"// Serialisation Turtle (equivalent rdflib.serialize(format=""turtle""))
var writer = new CompressingTurtleWriter();
var sw = new System.IO.StringWriter();
writer.Save(g, sw);
Console.WriteLine(sw.ToString());
",,,,,,,,1ccbdc898eafe03e,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,4049d8cd,markdown,fr,7df7b75abe3f17f5,"## 3. Fonction utilitaire `Reify()`

Pour réduire la verbosité, le twin Python définit une fonction `reify(graph, s, p, o)`. Voici l'équivalent C# : elle crée le nœud-réification `rdf:Statement` + les 3 liens, sans répéter le fait original (à ajouter séparément). Retourne le nœud `stmt` pour annotation.",,,,,,,,7df7b75abe3f17f5,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,6b0f0df5,code,fr,2e4f4ca1d906bb6c,"// Reify : cree les 4 triplets de reification et retourne le noeud statement.
// (Le fait original doit etre ajoute separement si on veut qu'il existe dans le graphe.)
IUriNode Reify(IUriNode s, IUriNode p, IUriNode o, string name)
{
    var stmtNode = U(name);
    g.Assert(new Triple(stmtNode, rdfType, rdfStmt));
    g.Assert(new Triple(stmtNode, rdfSubject, s));
    g.Assert(new Triple(stmtNode, rdfPredicate, p));
    g.Assert(new Triple(stmtNode, rdfObject, o));
    return stmtNode;
}

// Helper pour creer un LiteralNode de confiance typé xsd:double.
ILiteralNode Confidence(double v) =>
    g.CreateLiteralNode(v.ToString(System.Globalization.CultureInfo.InvariantCulture),
                         new Uri(""http://www.w3.org/2001/XMLSchema#double""));

// Demo : un 2e fait reifie via le helper (Bob connait Dave, affirmé par Carol).
g.Assert(new Triple(U(""Bob""), foafKnows, U(""Dave"")));              // fait original
var stmt2 = Reify(U(""Bob""), foafKnows, U(""Dave""), ""statement2"");
g.Assert(new Triple(stmt2, U(""assertedBy""), U(""Carol"")));
g.Assert(new Triple(stmt2, U(""confidence""), Confidence(0.60)));

Console.WriteLine($""Apres 2e fait reifie : graphe g = {g.Triples.Count} triplets au total"");
",,,,,,,,2e4f4ca1d906bb6c,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SemanticWeb/SW-10-CSharp-RDFStar.ipynb,c3708973,markdown,fr,13f2089534f259f2,"## 4. Graphe de connaissances annoté

Construisons un graphe réaliste : 4 personnes (Alice, Bob, Carol, Dave) reliées par `foaf:knows`, chaque relation annotée d'un score de confiance et d'une source. Le fait 4 (Alice connaît Dave) est **seulement affirmé par Bob** mais n'existe pas comme triplet direct — c'est précisément l'intérêt de la réification : on peut enregistrer une affirmation sans l'ajouter au graphe des faits.",,,,,,,,13f2089534f259f2,,,,,,,
