notebook,cell_id,cell_type,src_lang,src_hash,text_fr,text_en,text_es,text_ar,text_fa,text_zh,text_ru,text_pt,hash_fr,hash_en,hash_es,hash_ar,hash_fa,hash_zh,hash_ru,hash_pt
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-01,markdown,fr,1bc5fc81f050dc0f,"# SL-10 --- Apprentissage Actif d'Automates (L* d'Angluin)

**Navigation** : [Index](./README.md) | [<< SL-9](SL-9-LLM-SymbolicLearning.ipynb) | [SL-11 >>](SL-11-Capstone-NeuroSymbolic.ipynb)

## Objectifs d'apprentissage

A la fin de ce notebook, vous saurez :
1. Distinguer apprentissage **passif** (exemples imposes, SL-1) et **actif** (l'apprenant pose des questions)
2. Formaliser le modele **MAT** (Minimally Adequate Teacher) : requetes d'appartenance et d'equivalence
3. Implementer la **table d'observation** d'Angluin (fermeture, consistance)
4. Derouler l'algorithme **L*** complet et apprendre un DFA inconnu
5. Relier la garantie de **minimalite** au theoreme de Myhill-Nerode
6. Mesurer ce qui se passe quand l'oracle d'equivalence devient **approximatif** (echantillonnage, PAC)

### Prerequis
- SL-1 (espaces d'hypotheses, apprentissage passif)
- Notions d'automates finis deterministes (rappel complet en section 1)
- Python pur : aucune dependance externe dans ce notebook

### Duree estimee : 60 minutes
",,,,,,,,1bc5fc81f050dc0f,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-02,markdown,fr,d5ba67a3095ddf1b,"---

## 1. Du passif a l'actif : le modele MAT

Tous les algorithmes de la serie jusqu'ici sont **passifs** : l'apprenant recoit un
jeu d'exemples qu'il n'a pas choisi (les 12 restaurants de SL-1, les triples du KG
de SL-8) et doit s'en contenter. Or certains concepts sont *exponentiellement* plus
faciles a apprendre si l'apprenant peut **poser des questions**.

Dana Angluin (1987) formalise cela avec le **MAT** (*Minimally Adequate Teacher*),
un professeur qui repond a exactement deux types de requetes :

| Requete | Question | Reponse |
|---------|----------|---------|
| **Appartenance** (MQ) | « le mot $w$ est-il dans le langage cible $L$ ? » | Oui / Non |
| **Equivalence** (EQ) | « mon hypothese $H$ est-elle exactement $L$ ? » | Oui, ou un **contre-exemple** $w \in H \triangle L$ |

La cible est ici un **langage regulier** : un ensemble de mots reconnu par un
**automate fini deterministe** (DFA). C'est un objet pleinement symbolique --- etats,
transitions, etats acceptants --- et le theoreme central d'Angluin est remarquable :

> **Theoreme (Angluin 1987).** L* apprend le DFA minimal de tout langage regulier
> avec un nombre de requetes **polynomial** en le nombre d'etats $n$ du DFA minimal
> et la longueur $m$ du plus long contre-exemple.

A titre de comparaison, apprendre un DFA *passivement* (trouver le plus petit DFA
consistant avec un echantillon donne) est **NP-difficile** (Gold 1978). Le droit de
poser des questions change la classe de complexite du probleme.

Commencons par la cible : un DFA jouet que L* devra decouvrir *sans jamais regarder
sa structure*, uniquement en l'interrogeant.
",,,,,,,,d5ba67a3095ddf1b,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-03,code,fr,2f88657c00a2f0f3,"# Un DFA = (etats, alphabet, transitions, etat initial, etats acceptants)
from collections import deque


class DFA:
    """"""Automate fini deterministe. delta : dict (etat, symbole) -> etat.""""""

    def __init__(self, states, alphabet, delta, start, accepting):
        self.states = set(states)
        self.alphabet = list(alphabet)
        self.delta = dict(delta)
        self.start = start
        self.accepting = set(accepting)

    def accepts(self, word):
        q = self.start
        for ch in word:
            q = self.delta[(q, ch)]
        return q in self.accepting

    def __repr__(self):
        return f""DFA({len(self.states)} etats, {len(self.accepting)} acceptants)""


# Langage cible (cache pour L*) : mots sur {a, b} avec un nombre PAIR de 'a'
# ET un nombre PAIR de 'b'. Etat = (parite des a, parite des b) -> 4 etats.
ALPHABET = [""a"", ""b""]
_states = [""ee"", ""eo"", ""oe"", ""oo""]  # (pair, pair), (pair, impair), ...
_delta = {}
for s in _states:
    pa, pb = s[0], s[1]
    _delta[(s, ""a"")] = (""o"" if pa == ""e"" else ""e"") + pb
    _delta[(s, ""b"")] = pa + (""o"" if pb == ""e"" else ""e"")
TARGET = DFA(_states, ALPHABET, _delta, ""ee"", {""ee""})

# L'apprenant n'aura acces qu'a cette fonction (la requete d'appartenance) :
def membership_query(word: str) -> bool:
    return TARGET.accepts(word)

# Verification rapide sur quelques mots
tests = ["""", ""a"", ""b"", ""ab"", ""aabb"", ""abab"", ""aab"", ""bbaa"", ""abba""]
print(f""Cible : {TARGET}  (structure invisible pour l'apprenant)"")
print(f""{'mot':>8} | nb_a | nb_b | dans L ?"")
print(""-"" * 36)
for w in tests:
    print(f""{w or chr(949):>8} | {w.count('a'):>4} | {w.count('b'):>4} | ""
          f""{'OUI' if membership_query(w) else 'non'}"")",,,,,,,,2f88657c00a2f0f3,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-04,markdown,fr,555ff782978208f7,"### Pourquoi ce langage ?

Le mot vide est accepte (0 est pair), `ab` est rejete (1 'a', 1 'b'), `aabb` et
`abab` sont acceptes. Le DFA minimal a exactement **4 etats** --- le produit des
deux parites --- et aucune conjonction d'attributs a la SL-1 ne peut le representer :
l'appartenance depend d'un *compteur modulaire*, pas de la presence ou l'absence
d'un motif. C'est un concept hors de portee des espaces d'hypotheses de SL-1, et
parfaitement dans celui de L*.

L'apprenant ne voit que `membership_query` : une boite noire mot -> booleen.
Tout l'enjeu est de reconstruire la structure (etats, transitions) a partir de
reponses oui/non bien choisies.
",,,,,,,,555ff782978208f7,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,51100dfa,markdown,fr,17e68f9bb5afe421,"### Schema : le DFA cible (invisible pour l'apprenant)

Le langage cible -- *nombre pair de `a` **et** pair de `b`* -- est reconnu par le DFA
minimal a **4 etats**, un par couple (parite des `a`, parite des `b`). C'est cette
structure (etats + transitions) que L* doit reconstruire a partir des seules reponses
oui/non de l'oracle ; elle lui est **cachee**. La voici :

```mermaid
stateDiagram-v2
    direction LR
    [*] --> ee
    ee --> oe : a
    ee --> eo : b
    oe --> ee : a
    oe --> oo : b
    eo --> oo : a
    eo --> ee : b
    oo --> eo : a
    oo --> oe : b
    ee : ee (pair a, pair b)
    oe : oe (impair a, pair b)
    eo : eo (pair a, impair b)
    oo : oo (impair a, impair b)
    classDef accept fill:#d1e7dd,stroke:#0f5132,stroke-width:3px,color:#0a3622
    class ee accept
```

> **Lecture.** L'etat initial `ee` (pair, pair) est aussi le **seul etat acceptant**
> (en vert) : un mot est dans le langage si, en le lisant lettre par lettre, on revient
> en `ee`. Chaque `a` bascule la parite des `a` (colonne gauche/droite), chaque `b`
> bascule celle des `b` -- d'ou la symetrie en damier. Aucune conjonction d'attributs a
> la SL-1 ne capture ce **compteur modulaire** : c'est precisement ce qui place ce
> concept hors de portee de l'apprentissage passif et dans celui de L*.
",,,,,,,,17e68f9bb5afe421,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-05,markdown,fr,b0c103b54297f5fd,"---

## 2. La table d'observation

L* organise ses requetes d'appartenance dans une **table d'observation** $(S, E, T)$ :

- $S$ : un ensemble de **prefixes d'acces** (chaque $s \in S$ est un chemin candidat
  vers un etat du DFA) ;
- $E$ : un ensemble de **suffixes distinguants** (des « experiences » qui separent
  les etats) ;
- $T(s \cdot e) \in \{0, 1\}$ : la reponse de l'oracle a la requete $s \cdot e \in L$ ?

La **ligne** d'un prefixe $s$ est le vecteur $row(s) = (T(s \cdot e))_{e \in E}$.
L'intuition centrale : *deux prefixes qui ont la meme ligne menent (provisoirement)
au meme etat*. C'est une approximation finie de la congruence de Myhill-Nerode :
$u \equiv_L v \iff \forall w,\; uw \in L \Leftrightarrow vw \in L$ --- ici on ne
teste pas *tous* les suffixes $w$, seulement ceux de $E$.

Pour pouvoir construire un DFA a partir de la table, deux proprietes sont requises :

| Propriete | Definition | Si violee... |
|-----------|------------|--------------|
| **Fermeture** | $\forall s \in S, a \in \Sigma$, $row(s a)$ est la ligne d'un element de $S$ | la transition $row(s) \xrightarrow{a} {?}$ sort de la table : **promouvoir** $sa$ dans $S$ |
| **Consistance** | $row(s_1) = row(s_2) \Rightarrow \forall a, row(s_1 a) = row(s_2 a)$ | deux etats fusionnes a tort : **ajouter** le suffixe $a e$ qui les separe a $E$ |
",,,,,,,,b0c103b54297f5fd,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-06,code,fr,6a13a68e64e56e32,"class ObservationTable:
    """"""Table d'observation (S, E, T) d'Angluin, remplie par requetes MQ.""""""

    def __init__(self, alphabet, mq):
        self.A = list(alphabet)
        self.mq = mq
        self.S = [""""]          # prefixes d'acces
        self.E = [""""]          # suffixes distinguants (E[0] = mot vide, toujours)
        self.T = {}            # cache mot -> bool
        self.n_mq = 0          # compteur de requetes reelles
        self.fill()

    def ask(self, w):
        if w not in self.T:
            self.T[w] = self.mq(w)
            self.n_mq += 1
        return self.T[w]

    def fill(self):
        for s in self.S + [s + a for s in self.S for a in self.A]:
            for e in self.E:
                self.ask(s + e)

    def row(self, s):
        return tuple(self.ask(s + e) for e in self.E)

    def find_unclosed(self):
        """"""Renvoie un s.a dont la ligne n'apparait pas dans S, ou None.""""""
        rows_S = {self.row(s) for s in self.S}
        for s in self.S:
            for a in self.A:
                if self.row(s + a) not in rows_S:
                    return s + a
        return None

    def find_inconsistency(self):
        """"""Renvoie un suffixe a+e qui separe deux lignes egales de S, ou None.""""""
        for i, s1 in enumerate(self.S):
            for s2 in self.S[i + 1:]:
                if self.row(s1) != self.row(s2):
                    continue
                for a in self.A:
                    for e in self.E:
                        if self.ask(s1 + a + e) != self.ask(s2 + a + e):
                            return a + e
        return None

    def show(self):
        eps = chr(949)
        cols = [e or eps for e in self.E]
        w = max(6, max(len(s) for s in self.S) + 2)
        print(f""{'':>{w}} | "" + "" "".join(f""{c:>4}"" for c in cols))
        print(""-"" * (w + 3 + 5 * len(cols)))
        for s in self.S:
            r = "" "".join(f""{int(v):>4}"" for v in self.row(s))
            print(f""{s or eps:>{w}} | {r}"")
        print(""-"" * (w + 3 + 5 * len(cols)))
        for s in self.S:
            for a in self.A:
                sa = s + a
                if sa in self.S:
                    continue
                r = "" "".join(f""{int(v):>4}"" for v in self.row(sa))
                print(f""{sa:>{w}} | {r}"")


# Table initiale : S = {epsilon}, E = {epsilon}
table = ObservationTable(ALPHABET, membership_query)
print(""Table initiale (haut : S ; bas : les successeurs S.A) :\n"")
table.show()
sa = table.find_unclosed()
print(f""\nRequetes MQ posees : {table.n_mq}"")
print(f""Fermee ? {'oui' if sa is None else f'NON : row({sa!r}) absente de S'}"")",,,,,,,,6a13a68e64e56e32,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-07,markdown,fr,77a5289cf2683201,"### Lecture de la table initiale

La ligne de $\varepsilon$ vaut $(1)$ (le mot vide est dans $L$), mais celles de
`a` et `b` valent $(0)$ : la table n'est **pas fermee** --- l'automate conjecture
aurait une transition vers un etat qui n'existe pas encore. Le remede est mecanique :
promouvoir le prefixe fautif dans $S$, ce qui *cree* l'etat manquant, puis re-remplir
la table. L'algorithme L* n'est rien d'autre que la repetition disciplinee de ce
geste, plus le traitement des contre-exemples.
",,,,,,,,77a5289cf2683201,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-08,markdown,fr,18bee31bafa24092,"---

## 3. L'algorithme L*

```text
L*(alphabet, MQ, EQ):
    initialiser la table (S = E = {epsilon})
    repeter:
        tant que la table n'est pas fermee ou pas consistante:
            non fermee      -> promouvoir le prefixe s.a fautif dans S
            non consistante -> ajouter le suffixe a.e separateur a E
        H <- DFA conjecture a partir des lignes de la table
        si EQ(H) repond OUI : retourner H
        sinon (contre-exemple c) : ajouter TOUS les prefixes de c a S
```

La **conjecture** se lit directement dans la table : les etats sont les lignes
distinctes de $S$, l'etat initial est $row(\varepsilon)$, un etat est acceptant si
sa premiere colonne ($e = \varepsilon$) vaut 1, et la transition par $a$ envoie
$row(s)$ sur $row(sa)$ --- la fermeture garantit que cette ligne existe, la
consistance qu'elle ne depend pas du representant $s$ choisi.
",,,,,,,,18bee31bafa24092,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SymbolicLearning/SL-10-ActiveAutomataLearning.ipynb,sl8-09,code,fr,af1a7396fb7ad365,"def conjecture(table):
    """"""Construit le DFA des lignes distinctes de S.""""""
    reps = {}                      # ligne -> prefixe representant
    for s in table.S:
        reps.setdefault(table.row(s), s)
    delta = {}
    for r, s in reps.items():
        for a in table.A:
            delta[(r, a)] = table.row(s + a)
    start = table.row("""")
    accepting = {r for r in reps if r[0]}      # E[0] = epsilon
    return DFA(set(reps), table.A, delta, start, accepting)


def find_counterexample(hyp, target, alphabet):
    """"""Oracle d'equivalence EXACT : BFS sur l'automate produit, renvoie le plus
    court mot sur lequel hyp et target different (None si equivalents).""""""
    start = (hyp.start, target.start)
    seen = {start}
    queue = deque([("""", *start)])
    while queue:
        w, qh, qt = queue.popleft()
        if (qh in hyp.accepting) != (qt in target.accepting):
            return w
        for a in alphabet:
            nxt = (hyp.delta[(qh, a)], target.delta[(qt, a)])
            if nxt not in seen:
                seen.add(nxt)
                queue.append((w + a, *nxt))
    return None


def lstar(alphabet, mq, eq, verbose=True):
    """"""L* d'Angluin. eq(hyp) renvoie None (equivalent) ou un contre-exemple.""""""
    table = ObservationTable(alphabet, mq)
    n_eq = 0
    round_ = 0
    while True:
        # 1. Stabiliser la table
        while True:
            sa = table.find_unclosed()
            if sa is not None:
                table.S.append(sa)
                table.fill()
                if verbose:
                    print(f""  table non fermee -> S += {sa!r}"")
                continue
            ae = table.find_inconsistency()
            if ae is not None:
                table.E.append(ae)
                table.fill()
                if verbose:
                    print(f""  table non consistante -> E += {ae!r}"")
                continue
            break
        # 2. Conjecturer et interroger le professeur
        hyp = conjecture(table)
        n_eq += 1
        round_ += 1
        cex = eq(hyp)
        if verbose:
            verdict = ""ACCEPTEE"" if cex is None else f""contre-exemple {cex!r}""
            print(f""Conjecture {round_} : {len(hyp.states)} etats -> {verdict}"")
        if cex is None:
            return hyp, table, n_eq
        # 3. Integrer le contre-exemple (tous ses prefixes dans S, Angluin 1987)
        for i in range(1, len(cex) + 1):
            if cex[:i] not in table.S:
                table.S.append(cex[:i])
        table.fill()

print(""L* implemente : ObservationTable + conjecture + boucle de raffinement."")",,,,,,,,af1a7396fb7ad365,,,,,,,
