notebook,cell_id,cell_type,src_lang,src_hash,text_fr,text_en,text_es,text_ar,text_fa,text_zh,text_ru,text_pt,hash_fr,hash_en,hash_es,hash_ar,hash_fa,hash_zh,hash_ru,hash_pt
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,header,markdown,fr,0bb6b141d0a7cf87,"# SC-0-Cypherpunk-Origins - Les origines Cypherpunk de la blockchain

[<< Retour au sommaire](../README.md) | [Suivant : Setup Foundry >>](SC-1-Setup-Foundry.ipynb)

---

## Objectifs d'apprentissage

1. Comprendre le **mouvement Cypherpunk** et son heritage technologique
2. Manipuler les **primitives cryptographiques** fondatrices (hash, signatures, PoW)
3. Construire une **mini-blockchain** a la main avec Python
4. Implementer un **arbre de Merkle** et comprendre son role
5. Decouvrir les **tables de hachage distribuees** (DHT/Kademlia)

### Prerequis

- Python 3.10+ avec `hashlib` (stdlib)
- `pycryptodome` pour les signatures numeriques
- Aucune connaissance blockchain prealable

### Duree estimee : 60 minutes
",,,,,,,,0bb6b141d0a7cf87,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,cypherpunk-manifesto,markdown,fr,057f6829044ebb5c,"---

## 1. Le Manifeste Cypherpunk

> *""Privacy is necessary for an open society in the electronic age.""*
> -- Eric Hughes, A Cypherpunk's Manifesto, 1993

Le mouvement Cypherpunk, ne dans les annees 1980-90, reunit des cryptographes, mathematiciens
et activistes convaincus que la **cryptographie** est l'outil fondamental de la liberte individuelle
a l'ere numerique.

### Textes fondateurs

| Annee | Auteur | Texte | Idee cle |
|-------|--------|-------|----------|
| 1985 | David Chaum | *Security without Identification* | Monnaie electronique anonyme |
| 1988 | Timothy May | *The Crypto Anarchist Manifesto* | Crypto = outil d'emancipation |
| 1993 | Eric Hughes | *A Cypherpunk's Manifesto* | ""Cypherpunks write code"" |
| 1997 | Adam Back | Hashcash | Proof-of-Work anti-spam |
| 1998 | Wei Dai | b-money | Monnaie decentralisee theorique |
| 2008 | Satoshi Nakamoto | Bitcoin whitepaper | Synthese de toutes ces idees |

Les smart contracts modernes (Ethereum, 2015) sont l'**aboutissement direct** de 30 ans
d'innovations Cypherpunk. Ce notebook retrace ces briques fondatrices avec du **vrai code executable**.",,,,,,,,057f6829044ebb5c,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,filiation-code,code,fr,3068fd6d3808cb41,"# Filiation technologique : des Cypherpunks aux Smart Contracts
filiation = {
    ""1991 - PGP (Zimmermann)"":        ""Chiffrement asymetrique grand public"",
    ""1997 - Hashcash (Back)"":          ""Proof-of-Work -> minage Bitcoin"",
    ""1998 - b-money (Dai)"":            ""Monnaie decentralisee theorique"",
    ""1999 - Napster"":                  ""P2P massif (centralise) -> BitTorrent"",
    ""2001 - BitTorrent (Cohen)"":       ""DHT Kademlia -> reseau Ethereum"",
    ""2004 - RPoW (Finney)"":            ""Proof-of-Work reutilisable"",
    ""2008 - Bitcoin (Nakamoto)"":       ""Hash chain + PoW + P2P + signatures"",
    ""2013 - Ethereum (Buterin)"":       ""Bitcoin + Turing-completude = Smart Contracts"",
}

print(""FILIATION CYPHERPUNK -> SMART CONTRACTS"")
print(""="" * 60)
for event, contribution in filiation.items():
    print(f""  {event}"")
    print(f""    -> {contribution}"")
    print()",,,,,,,,3068fd6d3808cb41,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,filiation-interpretation,markdown,fr,2c39d2fa9fce6c4d,"### Observation

Chaque innovation de cette filiation repose sur un **petit nombre de primitives cryptographiques** :
le hachage, les signatures numeriques, la preuve de travail, et les reseaux pair-a-pair.
Bitcoin n'a rien invente : il a **combine** ces briques existantes de maniere geniale.

Les sections suivantes explorent chacune de ces primitives avec du code executable.",,,,,,,,2c39d2fa9fce6c4d,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,hash-intro,markdown,fr,d6ae9eeed745e810,"---

## 2. Hash et integrite

Le **hachage cryptographique** est la brique la plus fondamentale. Une fonction de hachage
transforme une donnee de taille arbitraire en une empreinte de taille fixe, avec trois proprietes :

1. **Determinisme** : meme entree -> meme sortie, toujours
2. **Effet avalanche** : 1 bit change -> sortie completement differente
3. **Resistance aux collisions** : quasi-impossible de trouver deux entrees avec le meme hash

SHA-256 (Secure Hash Algorithm, 256 bits) est utilise par Bitcoin et de nombreuses blockchains.",,,,,,,,d6ae9eeed745e810,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,hash-code,code,fr,eb2afc448739b519,"import hashlib

# SHA-256 : la brique fondamentale de Bitcoin
data = b""Cypherpunks write code""
hash_value = hashlib.sha256(data).hexdigest()
print(f""Message  : {data.decode()}"")
print(f""SHA-256  : {hash_value}"")
print(f""Longueur : {len(hash_value)} caracteres hex = {len(hash_value)*4} bits"")
print()

# Effet avalanche : un seul caractere change
data2 = b""Cypherpunks write Code""  # 'c' -> 'C'
hash2 = hashlib.sha256(data2).hexdigest()
print(f""Message  : {data2.decode()}"")
print(f""SHA-256  : {hash2}"")
print()

# Compter les bits differents (distance de Hamming)
diff_bits = bin(int(hash_value, 16) ^ int(hash2, 16)).count('1')
print(f""Bits differents : {diff_bits} / 256 ({diff_bits/256*100:.1f}%)"")
print(""-> Un seul caractere change, ~50% des bits changent (effet avalanche)"")",,,,,,,,eb2afc448739b519,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,hash-interpretation,markdown,fr,48f750a2d0870992,"### Interpretation

L'**effet avalanche** est crucial pour la securite : il est impossible de deviner le hash
a partir de petites modifications de l'entree. En pratique, ~128 bits sur 256 changent
(~50%), ce qui confirme que SHA-256 se comporte comme une fonction aleatoire.

Cette propriete est exploitee dans :
- **Bitcoin** : le hash du bloc doit commencer par N zeros (Proof-of-Work)
- **Ethereum** : Keccak-256 pour les adresses et les signatures
- **Git** : SHA-1 pour identifier les commits (SHA-256 en migration)",,,,,,,,48f750a2d0870992,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,880f1c6f,markdown,fr,0835199151e59252,"### Exercice : Schema de commitment avec hash

Un **commitment scheme** permet de s'engager sur une valeur sans la reveler. Par exemple, Alice veut s'engager sur un choix secret sans que Bob puisse le deviner.

Le schema est le suivant :
1. Alice choisit un `secret` (ex: son vote) et un `nonce` aleatoire
2. Elle calcule `commitment = SHA256(nonce + secret)` et le publie
3. Plus tard, elle revele `nonce` et `secret` : Bob verifie que `SHA256(nonce + secret) == commitment`

**Indices** :
- Utilisez `hashlib.sha256()` et `hexdigest()`
- Le nonce peut etre un entier aleatoire converti en string
- La concatenation `nonce + secret` forme le message a hacher",,,,,,,,0835199151e59252,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,288c78b6,code,fr,a2e3ab94d18314ab,"# Exercice : Schema de commitment avec hash
import hashlib

def commit(secret, nonce):
    """"""Creer un commitment hash(nonce + secret).
    
    TODO etudiant : retourner le hash SHA-256 de la concatenation nonce + secret.
    """"""
    return None  # TODO etudiant : implementer

def verify(secret, nonce, commitment):
    """"""Verifier qu'un (secret, nonce) correspond au commitment.
    
    TODO etudiant : recalculer le hash et comparer avec commitment.
    Retourner True si identique, False sinon.
    """"""
    return False  # TODO etudiant : implementer

print(""Exercice a completer"")",,,,,,,,a2e3ab94d18314ab,,,,,,,
MyIA.AI.Notebooks/SymbolicAI/SmartContracts/00-Foundations/SC-0-Cypherpunk-Origins.ipynb,chain-intro,markdown,fr,8598d9e7688aba57,"---

## 3. Chaine de hash (proto-blockchain)

L'idee centrale de Bitcoin est de **chainer les blocs par leur hash** :
chaque bloc contient le hash du bloc precedent. Modifier un ancien bloc
invalide tous les blocs suivants.

Ce concept existait deja dans les travaux de Stuart Haber et Scott Stornetta (1991)
sur l'horodatage de documents numeriques.",,,,,,,,8598d9e7688aba57,,,,,,,
