notebook,cell_id,cell_type,src_lang,src_hash,text_fr,text_en,text_es,text_ar,text_fa,text_zh,text_ru,text_pt,hash_fr,hash_en,hash_es,hash_ar,hash_fa,hash_zh,hash_ru,hash_pt
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,ab8b7b64,markdown,fr,5484c58365e6fa27,"# Infer-1-Setup : Introduction et Installation

**Série** : Programmation Probabiliste avec Infer.NET (1/20)  
**Duree estimee** : 15 minutes  
**Prerequis** : Notions de base en C# et statistiques

---

## Objectifs

- Comprendre les bases de la programmation probabiliste
- Installer et configurer Infer.NET
- Créer votre premier modèle probabiliste
- Maîtriser les 3 étapes fondamentales : modèle, moteur, inférence

---

## Navigation

| Precedent | Suivant |
|-----------|--------|
| - | [Infer-2-Gaussian-Mixtures](Infer-2-Gaussian-Mixtures.ipynb) |

---",,,,,,,,5484c58365e6fa27,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,42dba707,markdown,fr,b33c67a9c11dabb9,"## 1. Introduction a la Programmation Probabiliste

### Le probleme de l'incertitude

Les ordinateurs sont rigoureusement logiques, mais le monde reel ne l'est pas. Considerez ces exemples :

- Un systeme de reconnaissance d'ecriture manuscrite : le gribouillis peut correspondre a ""hill"", ""bull"" ou ""hello""
- Un diagnostic medical : les symptomes peuvent indiquer plusieurs maladies possibles
- Un systeme de recommandation : les préférences de l'utilisateur sont partiellement connues

Dans tous ces cas, nous devons raisonner avec de l'**incertitude**.

### Variables aléatoires

Les variables conventionnelles (`bool`, `int`, `double`) ont des valeurs bien définies. La programmation probabiliste introduit les **variables aléatoires** qui représentent un ensemble de valeurs possibles, chacune associée a une probabilité.

```csharp
// Variable classique - valeur fixe
bool estFace = true;

// Variable aléatoire - distribution de probabilité
Variable<bool> estFace = Variable.Bernoulli(0.5);  // 50% de chance
```

### Les 3 piliers de la programmation probabiliste

1. **Modèles probabilistes** : Definissent comment les observations sont générées
2. **Inférence bayesienne** : Raisonne de l'effet vers la cause
3. **Apprentissage** : Les paramètres eux-memes sont des variables aléatoires",,,,,,,,b33c67a9c11dabb9,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,01b459aa,markdown,fr,f39f88680a5338c2,"## 2. Presentation d'Infer.NET

### Qu'est-ce que Infer.NET ?

**Infer.NET** est un framework Microsoft pour l'inférence bayesienne dans les modèles graphiques. Il fait partie de la bibliotheque **ML.NET**.

**Caracteristiques principales** :

| Caracteristique | Description |
|-----------------|-------------|
| **Langage de modelisation** | Variables continues et discretes, univariees et multivariees |
| **Algorithmes d'inférence** | Expectation Propagation (EP), Variational Message Passing (VMP), Gibbs Sampling |
| **Performance** | Compile les modèles en code source optimise |
| **Extensibilite** | Ajout de distributions, facteurs et algorithmes personnalises |

### Comment fonctionne Infer.NET ?

```
1. Définition du modèle    -->  API de modelisation
        |
        v
2. Compilation du modèle   -->  Génération de code source
        |
        v
3. Exécution de l'inférence -->  Calcul des distributions posterieures
```",,,,,,,,f39f88680a5338c2,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,5b34e453,markdown,fr,cf69d91555f88dd4,"## 3. Installation

Avant de commencer, nous devons installer les packages NuGet necessaires. Infer.NET est distribue en deux packages :
- **Microsoft.ML.Probabilistic** : Contient les distributions, le moteur d'inférence et les algorithmes
- **Microsoft.ML.Probabilistic.Compiler** : Permet la compilation dynamique des modèles en code optimise

L'installation via `#r ""nuget:` télécharge automatiquement les packages et leurs dépendances.

> **Important** : Si Graphviz est installe, la cellule suivante l'ajoute automatiquement au PATH pour permettre la visualisation des graphes de facteurs.",,,,,,,,cf69d91555f88dd4,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,cr1bl8bp3a9,code,fr,d22c1c34e5e12ce2,"// Configuration du PATH pour Graphviz (AVANT le chargement d'Infer.NET)
// Cette cellule doit s'executer en premier pour que Infer.NET trouve 'dot'

var graphvizPaths = new[] {
    @""C:\Program Files\Graphviz\bin"",
    @""C:\Program Files (x86)\Graphviz\bin""
};

foreach (var gvPath in graphvizPaths)
{
    var dotExe = System.IO.Path.Combine(gvPath, ""dot.exe"");
    if (System.IO.File.Exists(dotExe))
    {
        var currentPath = Environment.GetEnvironmentVariable(""PATH"") ?? """";
        if (!currentPath.Contains(gvPath, StringComparison.OrdinalIgnoreCase))
        {
            Environment.SetEnvironmentVariable(""PATH"", gvPath + "";"" + currentPath);
            Console.WriteLine($""Graphviz configure : {gvPath}"");
        }
        else
        {
            Console.WriteLine($""Graphviz deja dans le PATH : {gvPath}"");
        }
        break;
    }
}

// Verification avec ProcessStartInfo correctement configure
try
{
    var psi = new System.Diagnostics.ProcessStartInfo {
        FileName = ""dot"",
        Arguments = ""-V"",
        RedirectStandardError = true,
        RedirectStandardOutput = true,
        UseShellExecute = false,
        CreateNoWindow = true
    };
    using var proc = System.Diagnostics.Process.Start(psi);
    var stderr = proc.StandardError.ReadToEnd();
    proc.WaitForExit();
    if (proc.ExitCode == 0 || stderr.Contains(""graphviz""))
        Console.WriteLine($""Verification OK : {stderr.Trim()}"");
    else
        Console.WriteLine(""dot.exe trouve mais verification echouee"");
}
catch 
{ 
    Console.WriteLine(""Graphviz non disponible (optionnel pour visualisation)""); 
}",,,,,,,,d22c1c34e5e12ce2,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,b85npb17cng,markdown,fr,985524adca405bc1,"### Verification de la configuration Graphviz

La cellule precedente a configure le PATH pour Graphviz. Voici comment interpreter la sortie :

| Message | Signification |
|---------|---------------|
| `Graphviz configure : C:\Program Files\Graphviz\bin` | Chemin ajoute au PATH - Graphviz sera utilisable |
| `Graphviz deja dans le PATH` | Deja configure dans une session precedente |
| `Graphviz non disponible` | Non installe - les graphes seront generes en `.gv` uniquement |
| `Verification OK : dot - graphviz version X.X` | Installation fonctionnelle |

> **Note** : Si Graphviz n'est pas installe, ce n'est pas bloquant. Les fichiers `.gv` peuvent etre visualises sur [viz-js.com](https://viz-js.com/).",,,,,,,,985524adca405bc1,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,18ff7a16,code,fr,504e6b578df42ff4,"// Installation des packages NuGet Infer.NET
#r ""nuget: Microsoft.ML.Probabilistic""
#r ""nuget: Microsoft.ML.Probabilistic.Compiler""",,,,,,,,504e6b578df42ff4,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,a8b9fff5,markdown,fr,cfb5a4ada9a444bc,> **Note** : Infer.NET fait desormais partie de la bibliotheque ML.NET de Microsoft.,,,,,,,,cfb5a4ada9a444bc,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,7b6edff0,code,fr,59130f9dc2d8ace7,"// Import des espaces de noms essentiels
using Microsoft.ML.Probabilistic;
using Microsoft.ML.Probabilistic.Distributions;
using Microsoft.ML.Probabilistic.Utilities;
using Microsoft.ML.Probabilistic.Math;
using Microsoft.ML.Probabilistic.Models;
using Microsoft.ML.Probabilistic.Algorithms;
using Microsoft.ML.Probabilistic.Compiler;

Console.WriteLine(""Infer.NET charge avec succes !"");
Console.WriteLine($""  - Microsoft.ML.Probabilistic.Models : Variables aleatoires et modeles"");
Console.WriteLine($""  - Microsoft.ML.Probabilistic.Distributions : Gaussian, Beta, Dirichlet..."");
Console.WriteLine($""  - Microsoft.ML.Probabilistic.Algorithms : EP, VMP, Gibbs"");
Console.WriteLine($""  - Microsoft.ML.Probabilistic.Compiler : Compilation Roslyn des modeles"");",,,,,,,,59130f9dc2d8ace7,,,,,,,
MyIA.AI.Notebooks/Probas/Infer/Infer-1-Setup.ipynb,7a9110ca,markdown,fr,0d35df980368841a,Chargement du helper de visualisation des graphes de facteurs.,,,,,,,,0d35df980368841a,,,,,,,
