instance,n_modules,seed,lex_mk,lex_fuel,disp_mk,disp_fuel,apparie_mk,apparie_fuel,apparie_status,apparie_audit,lecture_melangee_pct,lecture_appariee_pct
coursia-orbital-m4-s11,4,11,51,408,52,433,51,408,OPTIMAL,True,5.773672055427252,5.773672055427252
coursia-orbital-m4-s22,4,22,56,442,56,448,56,442,OPTIMAL,True,1.3392857142857142,1.3392857142857142
coursia-orbital-m4-s33,4,33,37,421,41,444,41,397,OPTIMAL,True,5.18018018018018,10.585585585585585
coursia-orbital-m4-s44,4,44,59,406,59,429,59,406,OPTIMAL,True,5.361305361305361,5.361305361305361
coursia-orbital-m4-s55,4,55,56,390,57,428,56,390,OPTIMAL,True,8.878504672897197,8.878504672897197
coursia-orbital-m6-s11,6,11,69,789,75,739,75,681,OPTIMAL,True,-6.7658998646820026,7.848443843031123
coursia-orbital-m6-s22,6,22,68,809,83,842,81,692,OPTIMAL,True,3.9192399049881237,17.81472684085511
coursia-orbital-m6-s33,6,33,71,810,88,836,87,687,OPTIMAL,True,3.110047846889952,17.822966507177032
coursia-orbital-m6-s44,6,44,72,821,88,825,88,676,OPTIMAL,True,0.48484848484848486,18.060606060606062
coursia-orbital-m6-s55,6,55,61,779,66,816,66,672,OPTIMAL,True,4.534313725490196,17.647058823529413
coursia-orbital-m8-s11,8,11,74,1138,76,1187,76,1037,OPTIMAL,True,4.128053917438922,12.636899747262005
coursia-orbital-m8-s22,8,22,89,1136,92,1209,92,1127,OPTIMAL,True,6.038047973531844,6.782464846980976
coursia-orbital-m8-s33,8,33,66,1021,66,1208,66,1021,OPTIMAL,True,15.480132450331126,15.480132450331126
coursia-orbital-m8-s44,8,44,66,1036,69,1192,69,1010,OPTIMAL,True,13.087248322147651,15.268456375838927
coursia-orbital-m8-s55,8,55,77,1113,86,1179,86,994,OPTIMAL,True,5.597964376590331,15.691263782866836
coursia-orbital-m10-s11,10,11,82,1075,82,1285,82,1075,OPTIMAL,True,16.342412451361866,16.342412451361866
coursia-orbital-m10-s22,10,22,87,1138,117,1318,114,1082,OPTIMAL,True,13.657056145675266,17.905918057663126
coursia-orbital-m10-s33,10,33,89,1179,93,1297,93,1079,OPTIMAL,True,9.097918272937548,16.808018504240554
coursia-orbital-m10-s44,10,44,99,1109,118,1301,117,1064,OPTIMAL,True,14.757878554957724,18.216756341275943
coursia-orbital-m10-s55,10,55,88,1123,99,1287,99,1064,OPTIMAL,True,12.742812742812744,17.327117327117328
coursia-orbital-m12-s11,12,11,88,1477,103,1657,103,1358,OPTIMAL,True,10.863005431502716,18.044659022329512
coursia-orbital-m12-s22,12,22,95,1499,102,1673,102,1381,OPTIMAL,True,10.400478182904962,17.45367603108189
coursia-orbital-m12-s33,12,33,114,1413,126,1661,126,1373,OPTIMAL,True,14.930764599638772,17.338952438290185
coursia-orbital-m12-s44,12,44,96,1386,98,1669,98,1372,OPTIMAL,True,16.95626123427202,17.79508687837028
coursia-orbital-m12-s55,12,55,97,1391,100,1654,100,1369,OPTIMAL,True,15.900846432889963,17.230955259975815
