notebook,cell_id,cell_type,src_lang,src_hash,text_fr,text_en,text_es,text_ar,text_fa,text_zh,text_ru,text_pt,hash_fr,hash_en,hash_es,hash_ar,hash_fa,hash_zh,hash_ru,hash_pt
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,8837473a,markdown,fr,8d18dca880863d39,"# ML-1 (Python) : Introduction au Machine Learning avec scikit-learn

Ce notebook est le **jumeau Python** de [ML-1-Introduction.ipynb](ML-1-Introduction.ipynb)
(.NET / ML.NET). Il reprend exactement les trois exemples guidés et les trois exercices
du notebook C#, en utilisant la bibliothèque canonique **scikit-learn**.

**Pourquoi un jumeau Python ?** ML.NET et scikit-learn sont les deux bibliothèques de
référence pour le Machine Learning « classique » (non profond), l'une côté .NET,
l'autre côté Python. Comparer les deux sur les mêmes exemples pédagogiques permet de :
1. comprendre que les **concepts** (pipeline, entraînement, évaluation, prédiction) sont
   universels — seules les API diffèrent ;
2. voir les **écarts de comportement** entre solveurs (par ex. SDCA en ML.NET vs OLS en
   scikit-learn pour la régression linéaire) ;
3. disposer d'une version exécutable sans installation .NET.

> Épic #4956 — Parité .NET ⇄ Python des séries de notebooks. Convention : kernel `python3`,
> prose FR-first, 3 exercices stub, exécution réelle scikit-learn.",,,,,,,,8d18dca880863d39,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,3e76a2f7,markdown,fr,4cb9f14c32b934dd,"## Quelles sont les étapes à suivre ?

Un workflow de Machine Learning comporte toujours les mêmes étapes, quel que soit le
framework :

1. **Référencer** la bibliothèque (`import` en Python, `#r nuget` en .NET).
2. **Préparer** le contexte (graine aléatoire, affichage).
3. **Définir** les structures de données (ici, de simples tableaux NumPy).
4. **Charger** les données d'entraînement.
5. **Construire** le pipeline (transformation + algorithme).
6. **Entraîner** le modèle (`fit`).
7. **Évaluer** sur des données de test (R², accuracy, AUC…).
8. **Prédire** de nouvelles valeurs.",,,,,,,,4cb9f14c32b934dd,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,f3127450,markdown,fr,3f3f30d68e623d5f,"- **Étape 1 :** Référencer les bibliothèques

En Python, on importe les modules. **NumPy** pour les tableaux numériques,
**scikit-learn** (`sklearn`) pour les algorithmes et métriques, **Matplotlib** pour les
visualisations.
",,,,,,,,3f3f30d68e623d5f,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,af1d57d3,code,fr,c5c8b3808bf9346b,"import numpy as np
import matplotlib.pyplot as plt
from sklearn.linear_model import LinearRegression, LogisticRegression
from sklearn.metrics import r2_score, mean_absolute_error, accuracy_score, roc_auc_score

print(""Bibliothèques chargées : numpy,"", np.__version__, ""| sklearn,"", __import__('sklearn').__version__)",,,,,,,,c5c8b3808bf9346b,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,84b02fd5,markdown,fr,be5a9867458d339f,"On fixe la **graine** (`42`) pour rendre l'expérience déterministe : les tirages
aléatoires (s'ils surviennent) reproduiront les mêmes résultats à chaque exécution.",,,,,,,,be5a9867458d339f,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,3a07d08a,code,fr,80f20623ee25868d,rng = np.random.default_rng(42),,,,,,,,80f20623ee25868d,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,233d552c,markdown,fr,93acfeeacdf8d238,"- **Étape 2 :** Définir les structures de données

En ML.NET on définit des classes POCO (`HouseData`, `Prediction`). En Python on travaille
directement avec des **tableaux NumPy** : un tableau 2D `X` pour les features (ici la
taille) et un vecteur 1D `y` pour les étiquettes (ici le prix). C'est la convention
universelle de scikit-learn : `X` de forme `(n_samples, n_features)`, `y` de forme
`(n_samples,)`.
",,,,,,,,93acfeeacdf8d238,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,c084bade,markdown,fr,a0621d66b1536dba,"## Exemple guide 1 : Prédiction du prix d'une maison (régression)

On veut prédire le **prix** d'une maison à partir de sa **taille** (en milliers de pieds
carrés). C'est un problème de **régression** : la cible (`Price`) est continue.",,,,,,,,a0621d66b1536dba,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,6ca2df0c,code,fr,6ac96d17464689c6,"# Données d'entraînement : 4 exemples (Size, Price)
# Size  en milliers de pieds carrés, Price en centaines de milliers de $ (comme le .NET)
house_train = np.array([
    [1.1, 1.2],
    [1.9, 2.3],
    [2.8, 3.0],
    [3.4, 3.7],
])
X_house_train = house_train[:, 0].reshape(-1, 1)   # feature : Size
y_house_train = house_train[:, 1]                   # cible : Price
print(f""Données d'entraînement : {len(y_house_train)} exemples"")",,,,,,,,6ac96d17464689c6,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,665494ba,markdown,fr,10f2a5897c866f30,"### Construire et entraîner le pipeline

Le pipeline le plus simple pour une régression linéaire : un modèle `LinearRegression`
qui apprend la relation `Price = a * Size + b` par **moindres carrés** (OLS — Ordinary
Least Squares). C'est l'équivalent naturel du `Sdca` de ML.NET sur ce petit jeu.",,,,,,,,10f2a5897c866f30,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,56fb46e4,code,fr,ca99578f0e5d2da7,"model_house = LinearRegression()
model_house.fit(X_house_train, y_house_train)
print(f""Modèle entraîné : Price = {model_house.coef_[0]:.3f} * Size + {model_house.intercept_:.3f}"")",,,,,,,,ca99578f0e5d2da7,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,52457a57,markdown,fr,9d609c2369e21dc6,"### Évaluer le modèle sur des données de test

On dispose de 15 exemples de test (dont certains sortent de la plage d'entraînement,
jusqu'à 8 milliers de pieds carrés). On mesure le **coefficient de détermination R²** :
1.0 = prédiction parfaite, 0.0 = pas mieux que la moyenne.",,,,,,,,9d609c2369e21dc6,,,,,,,
MyIA.AI.Notebooks/ML/ML.Net/ML-1-Introduction-Python.ipynb,a6c7ec39,code,fr,e5a622a543a9a340,"# 15 exemples de test
house_test = np.array([
    [1.1, 1.2], [1.2, 1.5], [1.4, 1.7], [1.6, 1.9], [1.9, 2.3],
    [2.8, 3.0], [3.2, 3.5], [3.3, 3.6], [3.5, 3.9], [3.7, 4.3],
    [4.0, 6.1], [5.0, 7.2], [6.0, 8.5], [7.0, 9.8], [8.0, 10.3],
])
X_house_test = house_test[:, 0].reshape(-1, 1)
y_house_test = house_test[:, 1]

y_house_pred = model_house.predict(X_house_test)
r2_house = r2_score(y_house_test, y_house_pred)
mae_house = mean_absolute_error(y_house_test, y_house_pred)
print(f""R² sur le test  : {r2_house:.3f}"")
print(f""MAE sur le test : {mae_house:.3f} (centaines de milliers de $)"")",,,,,,,,e5a622a543a9a340,,,,,,,
