"key","fr","en"
"# <h1>:projets_cross-séries","Projets cross-séries",""
"projets_cross-séries.para1","Ce répertoire rassemble des **projets transversaux** qui mobilisent simultanément plusieurs séries pédagogiques du cursus (Search, GameTheory, GenAI, ML, SymbolicAI, Probas…). Là où chaque série enseigne *une* famille de techniques, un projet cross-séries montre comment **les combiner** sur une application concrète de bout en bout.",""
"## <h2>:pourquoi_des_projets_cross-séries_","Pourquoi des projets cross-séries ?",""
"pourquoi_des_projets_cross-séries_.para1","Les séries du cours isolent volontairement les concepts pour les rendre enseignables : on apprend la recherche dans Search/, l'appariement et les jeux dans GameTheory/, les embeddings et le RAG dans GenAI/, le matching supervisé dans ML/. Mais une application réelle ne respecte pas ces frontières — elle assemble ce qui marche, d'où qu'il vienne.",""
"pourquoi_des_projets_cross-séries_.para2","Ces projets servent donc d'**exemples-capstones** : chacun est autonome (son propre README, ses dépendances, ses tests) et illustre une **intégration multi-domaines** que les notebooks mono-série ne peuvent pas montrer seuls. L'objectif n'est pas d'introduire de nouveaux concepts, mais de **rejouer plusieurs concepts déjà vus** dans un même système, et de comparer leurs comportements sur un problème commun.",""
"## <h2>:projets","Projets",""
"table.projets.header.1","Projet",""
"table.projets.header.2","Description",""
"table.projets.header.3","Séries mobilisées",""
"table.projets.row.1.col.1","[matching-cv/](matching-cv/)",""
"table.projets.row.1.col.2","Application web Flask qui compare trois algorithmes d'appariement CV ↔ fiche de poste : mots-clés (baseline), similarité sémantique par embeddings, et appariement stable de Gale-Shapley.",""
"table.projets.row.1.col.3","GameTheory, GenAI, ML",""
"## <h2>:focus__matching-cv__trois_lectures_dun_m","Focus — matching-cv : trois lectures d'un même problème",""
"focus__matching-cv__trois_lectures_dun_m.para1","Le projet [matching-cv/](matching-cv/) prend un problème unique — apparier des CV de consultants à des fiches de poste — et le résout de **trois façons**, chacune ancrée dans une série différente. C'est précisément ce contraste qui en fait un projet cross-séries :",""
"table.focus__matching-cv__trois_lectures_dun_m.header.1","Algorithme",""
"table.focus__matching-cv__trois_lectures_dun_m.header.2","Principe",""
"table.focus__matching-cv__trois_lectures_dun_m.header.3","Série d'origine",""
"table.focus__matching-cv__trois_lectures_dun_m.row.1.col.1","**Simple (mots-clés)**",""
"table.focus__matching-cv__trois_lectures_dun_m.row.1.col.2","Comptage des mots-clés partagés entre CV et offre — une baseline transparente.",""
"table.focus__matching-cv__trois_lectures_dun_m.row.1.col.3","**ML** / Search (matching par recherche lexicale, baseline de classification)",""
"table.focus__matching-cv__trois_lectures_dun_m.row.2.col.1","**Sémantique (meilleur score)**",""
"table.focus__matching-cv__trois_lectures_dun_m.row.2.col.2","Embeddings OpenAI text-embedding-3-small (via Semantic Kernel), similarité cosinus, cache vectoriel ChromaDB.",""
"table.focus__matching-cv__trois_lectures_dun_m.row.2.col.3","**GenAI** (embeddings, vector store)",""
"table.focus__matching-cv__trois_lectures_dun_m.row.3.col.1","**Sémantique (stable)**",""
"table.focus__matching-cv__trois_lectures_dun_m.row.3.col.2","Appariement *stable* par l'algorithme de Gale-Shapley (variante Hospital-Resident) sur les scores sémantiques.",""
"table.focus__matching-cv__trois_lectures_dun_m.row.3.col.3","**GameTheory** (appariement stable ; cf. GameTheory/ 15x et social_choice_lean/)",""
"focus__matching-cv__trois_lectures_dun_m.para2","La leçon transversale est que **le « meilleur » appariement dépend du critère** : le meilleur score individuel (algorithme 2) n'est pas le même que l'appariement globalement stable au sens de Gale-Shapley (algorithme 3), où aucune paire candidat/poste n'a intérêt à se ré-apparier. Comparer les deux sur les mêmes données rend visible la différence entre *optimisation locale* et *stabilité globale*.",""
"focus__matching-cv__trois_lectures_dun_m.quote","**Note pédagogique.** matching-cv a été produit sous orchestration automatisée comme extension d'un atelier élémentaire ; sa trace d'orchestration n'a pas été conservée. Sa valeur tient à l'**illustration** de l'intégration cross-séries plus qu'à un déroulé pas-à-pas — voir son [README dédié](matching-cv/README.md) et son [introduction](matching-cv/docs/INTRODUCTION.md) pour le détail.",""
"focus__matching-cv__trois_lectures_dun_m.para3","*Version anglaise d'origine préservée : [README.en.md](README.en.md) (Epic #1650, Phase 0.5).*",""
