densite,n_modules,seed,n_burns,separations,couloirs,horizon,pond_status,pond_mk,pond_fuel,pond_wall_s,2p_status,2p_mk,2p_fuel,2p_wall_s,2p_mk_certifie,2p_certifie,audit_pond,audit_2p
0.25,16,11,32,25,6,448,OPTIMAL,121,1791,0.16,OPTIMAL/OPTIMAL,121.0,1791.0,0.28,True,True,True,True
0.25,16,22,32,24,6,448,OPTIMAL,118,1793,0.13,OPTIMAL/OPTIMAL,118.0,1793.0,0.22,True,True,True,True
0.25,16,33,32,32,6,448,OPTIMAL,121,1897,0.13,OPTIMAL/OPTIMAL,121.0,1897.0,0.23,True,True,True,True
0.25,32,11,64,109,11,800,OPTIMAL,226,3850,0.63,OPTIMAL/OPTIMAL,226.0,3850.0,1.09,True,True,True,True
0.25,32,22,64,124,11,800,OPTIMAL,202,3909,0.3,OPTIMAL/OPTIMAL,202.0,3909.0,0.75,True,True,True,True
0.25,32,33,64,116,11,800,OPTIMAL,204,3753,0.33,OPTIMAL/OPTIMAL,204.0,3753.0,0.62,True,True,True,True
0.25,64,11,128,497,22,1504,OPTIMAL,382,7346,0.9,OPTIMAL/OPTIMAL,382.0,7346.0,1.94,True,True,True,True
0.25,64,22,128,490,22,1504,OPTIMAL,383,7285,0.93,OPTIMAL/OPTIMAL,383.0,7285.0,1.54,True,True,True,True
0.25,64,33,128,514,22,1504,FEASIBLE,386,7456,10.05,OPTIMAL/FEASIBLE,386.0,7450.0,11.28,True,False,True,True
0.25,90,11,180,975,30,2076,OPTIMAL,518,10289,1.67,OPTIMAL/OPTIMAL,518.0,10289.0,3.29,True,True,True,True
0.25,90,22,180,972,30,2076,OPTIMAL,528,10548,1.6,OPTIMAL/OPTIMAL,528.0,10548.0,4.54,True,True,True,True
0.25,90,33,180,993,30,2076,OPTIMAL,526,10445,1.85,OPTIMAL/OPTIMAL,526.0,10445.0,4.13,True,True,True,True
0.6,16,11,32,63,6,448,OPTIMAL,129,1816,2.52,OPTIMAL/OPTIMAL,129.0,1816.0,2.16,True,True,True,True
0.6,16,22,32,65,6,448,OPTIMAL,118,1795,0.19,OPTIMAL/OPTIMAL,118.0,1795.0,0.35,True,True,True,True
0.6,16,33,32,76,6,448,OPTIMAL,122,1900,0.16,OPTIMAL/OPTIMAL,122.0,1900.0,0.35,True,True,True,True
0.6,32,11,64,285,11,800,FEASIBLE,245,3867,10.02,FEASIBLE/UNKNOWN,,,20.06,False,False,True,
0.6,32,22,64,274,11,800,FEASIBLE,202,3930,10.04,OPTIMAL/FEASIBLE,202.0,3930.0,10.42,True,False,True,True
0.6,32,33,64,268,11,800,OPTIMAL,204,3776,0.44,OPTIMAL/OPTIMAL,204.0,3776.0,0.83,True,True,True,True
0.6,64,11,128,1190,22,1504,OPTIMAL,384,7367,1.66,OPTIMAL/OPTIMAL,384.0,7367.0,4.2,True,True,True,True
0.6,64,22,128,1184,22,1504,FEASIBLE,383,7320,10.02,OPTIMAL/FEASIBLE,383.0,7323.0,11.76,True,False,True,True
0.6,64,33,128,1170,22,1504,FEASIBLE,433,7335,10.03,FEASIBLE/FEASIBLE,401.0,7433.0,20.06,False,False,True,True
0.6,90,11,180,2362,30,2076,FEASIBLE,521,10494,10.05,OPTIMAL/FEASIBLE,521.0,10519.0,13.14,True,False,True,True
0.6,90,22,180,2351,30,2076,OPTIMAL,531,10455,4.11,OPTIMAL/OPTIMAL,531.0,10455.0,10.83,True,True,True,True
0.6,90,33,180,2336,30,2076,OPTIMAL,529,10453,4.23,OPTIMAL/OPTIMAL,529.0,10453.0,7.07,True,True,True,True
